Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)","KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram
8/11/16,117.01,117.37,116.78,117.12,12969799,116.6687013,116.0444804,114.6803961,112.0074947,110.1476603,59.55964013,55.6219357,72.13863304,1.808350641,1.765440452,0.042910189
8/12/16,116.91,117.21,116.79,117.2,19379036,116.8458009,116.2545748,114.9203584,112.2111224,110.2873106,60.0164181,56.57557207,72.43748653,1.788427838,1.77003793,0.018389908
8/15/16,117.33,117.97,117.31,117.7,11777762,117.1305339,116.5173794,115.1850861,112.4263725,110.4340965,60.14912982,57.37836107,74.29342999,1.7923239,1.774495124,0.017828776
8/16/16,117.47,117.49,117.03,117.05,14161446,117.1036893,116.6142195,115.362697,112.6076912,110.5651045,60.20841968,58.10472579,67.89313729,1.723099175,1.764215934,-0.041116759
8/17/16,117.08,117.3,116.43,117.26,15980334,117.1557929,116.7316342,115.5433925,112.7901347,110.6976767,59.58378574,58.69472394,68.82749202,1.665978958,1.744568539,-0.078589581
8/18/16,117.15,117.46,116.945,117.29,10036285,117.2005286,116.8331552,115.7097361,112.9666,110.8282178,58.72012774,59.08289756,68.96643361,1.604634298,1.716581691,-0.111947392
8/19/16,117.1,117.52,116.76,117.26,18742961,117.2203524,116.9107634,115.8573803,113.1349686,110.9555798,57.04577783,59.12240398,68.63697314,1.53589265,1.680443882,-0.144551233
8/22/16,117.09,117.55,116.87,117.35,14500622,117.2635683,116.9906246,115.9995345,113.300264,111.082202,55.00199221,58.84494291,69.11366514,1.47171167,1.63869744,-0.16698577
8/23/16,117.79,118.0095,117.51,117.56,11997927,117.3623788,117.0941474,116.1481503,113.4673125,111.2104752,53.42327319,58.28617576,70.24990423,1.421407921,1.595239536,-0.173831616
8/24/16,117.49,117.64,116.41,116.8,17728656,117.1749192,117.040666,116.2102312,113.5980061,111.3211589,51.47094553,57.517951,61.44066792,1.30517099,1.537225827,-0.232054837
8/25/16,116.48,116.97,116.36,116.61,24266264,116.9866128,116.9623631,116.2483044,113.7161235,111.4258884,48.76218121,56.43820511,59.43410428,1.18407173,1.466595007,-0.282523277
8/26/16,116.66,117.54,116.08,116.78,23895963,116.9177419,116.9292062,116.2989421,113.8362755,111.5319104,46.10924087,55.04748738,60.67170936,1.089260952,1.391128196,-0.301867245
8/29/16,116.81,117.251,116.79,116.94,11184872,116.9251613,116.9311687,116.3599952,113.9579902,111.6390013,42.01447184,53.23402158,61.85136635,1.015329306,1.315968418,-0.300639113
8/30/16,116.73,117.09,116.16,116.56,19843301,116.8034408,116.8636835,116.3790433,114.0600298,111.7364468,37.47612148,50.96079176,57.44433463,0.915521556,1.235879046,-0.32035749
8/31/16,116.38,116.56,115.95,116.44,16169794,116.6822939,116.7866501,116.3848487,114.153362,111.8295865,33.61794718,48.36420791,56.08530692,0.817318658,1.152166968,-0.33484831
9/1/16,116.48,116.88,115.91,116.74,20944727,116.7015293,116.7781683,116.4186726,114.2547988,111.9268224,30.27961515,45.52015665,58.7149603,0.754996517,1.072732878,-0.317736361
9/2/16,117.32,117.56,116.68,117.12,18088215,116.8410195,116.8403195,116.4854657,114.3671596,112.0296576,27.4138082,42.55695969,61.83261549,0.72787807,1.003761916,-0.275883847
9/6/16,117.29,117.85,117.06,117.85,18525231,117.1773463,117.0238978,116.6154214,114.5037416,112.1449119,25.10534782,39.56729525,66.98974667,0.756570134,0.95432356,-0.197753426
9/7/16,117.95,118.12,117.47,117.92,17546872,117.4248976,117.1868255,116.7396669,114.6377125,112.2592701,22.61745339,36.48671327,67.44400883,0.776011836,0.918661215,-0.142649379
9/8/16,117.57,117.6,116.92,117.23,20125319,117.3599317,117.1946754,116.7863653,114.7393708,112.3577004,20.36674687,33.3762934,58.84751133,0.727357764,0.880400525,-0.153042761
9/9/16,116.23,116.51,114.26,114.28,50813287,116.3332878,116.6647344,116.5476639,114.7213563,112.3957657,16.09107264,30.10918254,37.08420905,0.445621864,0.793444793,-0.347822929
9/12/16,113.64,116.49,113.63,116.33,39645960,116.3321919,116.6038736,116.526934,114.7844403,112.4736713,13.87539572,26.88579803,50.72254764,0.38334306,0.711424446,-0.328081386
9/13/16,115.73,116.09,114.73,115.29,45863935,115.9847946,116.3649875,116.4091307,114.8042662,112.5294402,10.82898449,23.76724929,45.35151525,0.247217581,0.618583073,-0.371365492
9/14/16,115.43,116.47,115.38,115.84,28221762,115.9365297,116.2695352,116.3549278,114.8448832,112.5949959,8.602659576,20.8799031,48.45977333,0.181623914,0.531191241,-0.349567327
9/15/16,115.89,117.815,115.86,117.64,39466531,116.5043531,116.5187106,116.4773156,114.9544956,112.6948969,7.955333647,18.31364175,57.06636344,0.27175282,0.479303557,-0.207550737
9/16/16,117.22,117.412,116.71,117.29,27596527,116.7662354,116.6589451,116.5547142,115.0460841,112.7858891,7.224242806,16.00810452,55.13831256,0.311349509,0.445712747,-0.134363238
9/19/16,117.57,117.95,116.55,116.78,16222870,116.7708236,116.6809551,116.5761699,115.1140808,112.8649804,5.82282074,13.84900577,52.36216406,0.298140653,0.416198329,-0.118057676
9/20/16,117.19,117.48,116.8,117,18078584,116.8472157,116.7389632,116.6165347,115.1880384,112.946862,4.332188439,11.77168983,53.45093709,0.301944077,0.393347478,-0.091403401
9/21/16,117.48,118.32,116.81,118.15,31546776,117.2814772,116.9955154,116.762579,115.3041937,113.0498944,3.566207337,9.866565227,58.75724925,0.393220901,0.393322163,-0.000101262
9/22/16,118.85,119.22,118.7177,119.09,22614422,117.8843181,117.3763308,116.9842382,115.4526567,113.1695004,4.439185357,8.273809075,62.51835223,0.535238688,0.421705468,0.11353322
9/23/16,118.92,119,118.16,118.33,22213394,118.0328787,117.5497252,117.112406,115.5654937,113.2716886,6.385726045,7.303274415,57.91936881,0.579779818,0.453320338,0.12645948
9/26/16,117.66,117.8,117.17,117.34,16403881,117.8019192,117.5115933,117.1340816,115.6350822,113.3522492,6.291487431,6.544883587,52.50145666,0.529095178,0.468475306,0.060619872
9/27/16,117.31,118.5552,117.15,118.5,20238432,118.0346128,117.6913036,117.2641691,115.7474319,113.4541848,7.385091671,6.200494305,57.51609943,0.575891028,0.48995845,0.085932578
9/28/16,118.62,118.77,118.09,118.7,14794330,118.2564085,117.874703,117.4009149,115.8632189,113.5580624,8.387620438,6.178990391,58.33288827,0.621945998,0.51635596,0.105590038
9/29/16,118.51,118.72,117.3338,117.84,27207499,118.1176057,117.8683933,117.4427325,115.9407397,113.6428532,8.040433739,6.1875004,53.56405641,0.58233726,0.52955222,0.05278504
9/30/16,118.145,119.07,118.03,118.72,25543200,118.3184038,118.0232309,117.564377,116.0497303,113.7433908,9.771941472,6.442270267,57.40165998,0.614867881,0.546615352,0.068252529
